,,$48.00,Gold by Mira Kubasinska CD,,,$11.19,Average Sale Price,,,
 ,,-$233.35,Inventory cost (DVDs and CDs),,,$9.75,Median Sale Price,,,
$7.22,,64,Current Day Streak,,,,,,,
,,64,Longest streak (Jan 01 to Mar 05),,,,,,,
,,,,,,,,,,
$493.89,Payment Received,Sales Fees,Postage,Other Costs,Title,"Purchase Price
Offset",Net Gain,MovieList Key,Flags,Group ID
,"$2,025.52",-$396.61,-$792.47,-$342.55,,,,,,
1/1/2026,,,,-$21.95,eBay Store Subscription,,,,,
1/1/2026,$9.75,-$1.95,-$4.47,,Madonna The Immaculate Collection,-$0.24,$3.09,,,2511
1/1/2026,$9.25,-$1.86,-$4.47,,Slightly Off the Ground by The Tom Kubis Big Band CD,$0.71,$3.63,,,2433
1/2/2026,$11.75,-$2.29,-$4.47,,The Ruler's Back by Slick Rick CD,$0.64,$5.63,,,2513
1/2/2026,$8.50,-$1.74,-$4.47,,Salvation Boulevard,$0.60,$2.89,,,2514
1/2/2026,$7.50,-$1.57,-$4.47,,The Prisoner of Zenda,$0.87,$2.33,,,2515
1/2/2026,$8.25,-$1.69,-$4.47,,Earth to America by Widespread Panic CD,$0.64,$2.72,,,2513
1/3/2026,$10.00,-$1.99,-$4.47,,The Merry Widow,$0.87,$4.41,,,2515
1/4/2026,$7.25,-$1.53,-$4.47,,World Outside by The Psychedelic Furs CD,$0.64,$1.89,,,2513
1/4/2026,$8.50,-$1.74,-$4.47,,I Can't Stand Still by Don Henley CD,$0.71,$3.00,,,2529
1/4/2026,$8.25,-$1.69,-$4.47,,Crossroads,-$1.08,$1.01,,,2526
1/5/2026,$8.75,-$1.78,-$4.47,,Wired by Jeff Beck CD,$0.64,$3.14,,,2513
1/5/2026,$10.00,-$1.99,-$4.47,,Live by John Prine CD,$0.71,$4.25,,,2529
1/5/2026,$8.50,-$1.74,-$4.47,,Songs of Love and Heartache by Alan Jackson CD,$0.75,$3.04,,,2506
1/6/2026,$40.00,-$7.06,-$4.47,,Agatha Christies Marple The Geraldine McEwan Collection,-$1.39,$27.08,,doNotMatch,2521
1/6/2026,$18.00,-$3.34,-$4.47,,The Best Things in Life Are Free,$0.87,$11.05,,,2515
1/6/2026,$10.00,-$1.99,-$4.47,,Out of Season by Beth Gibbons CD,$0.64,$4.18,,,2513
1/7/2026,$20.00,-$3.68,-$4.47,,Brandmeier by Jonathon Brandmeir CD,$0.71,$12.56,,,2529
1/7/2026,$10.00,-$1.99,-$4.47,,I Love Melvin,$0.87,$4.41,,,2515
1/8/2026,$7.25,-$1.53,-$4.47,,Endeavour Season 1,-$0.13,$1.13,,,2503
1/8/2026,$8.25,-$1.69,-$5.22,,Everybody Loves Raymond,-$0.20,$1.14,,,2518
1/9/2026,$10.00,-$1.99,-$4.47,,The Return of Jesse James,$0.50,$4.04,,,2516
1/9/2026,$9.00,-$1.82,-$4.47,,Ultimate Phyllis Hyman by Phyllis Hyman,$0.64,$3.35,,,2513
1/9/2026,$11.25,-$2.20,-$4.47,,Song to a Seagull by Joni Mitchell CD,$0.64,$5.22,,,2513
1/10/2026,$7.50,-$1.57,-$4.47,,Executive Action,$0.08,$1.54,,,2519
1/10/2026,$8.00,-$1.65,-$4.47,,Mandingo,$0.38,$2.26,,,2523
1/11/2026,$7.50,-$1.57,-$4.47,,Spotlight on the Four Freshmen by The Four Freshmen CD,$0.77,$2.23,,,2420
1/11/2026,$8.50,-$1.74,-$4.47,,ONXRT Live from the Archives Vol 5 by Various CD,$0.77,$3.06,,,2420
1/11/2026,$7.50,-$1.57,-$4.47,,By The Light of the Silvery Moon,$0.64,$2.10,,,2513
1/12/2026,$10.00,-$1.99,-$4.47,,The Escape Artist,$0.60,$4.14,,,2514
1/13/2026,$37.00,-$6.55,-$4.47,,Hemispheres by Jim Hall and Bill Frisell,$0.71,$26.68,,,2529
1/14/2026,$14.00,-$2.67,-$4.47,,Bad Girls Dormatory,$0.50,$7.36,,,2516
1/14/2026,$9.75,-$1.95,-$4.47,,The Ten Commandments,$0.87,$4.20,,,2515
1/15/2026,$9.00,-$1.82,-$4.47,,Weekend at Bernies 2,-$1.39,$1.32,,,2521
1/15/2026,$9.50,-$1.91,-$4.47,,The Penthouse SCREENER,$0.78,$3.90,,,2502
1/16/2026,$8.00,-$1.65,-$4.47,,Shogun,$0.87,$2.74,,,2515
1/17/2026,$10.00,-$1.99,-$4.47,,Attack of the Killer Tomatoes,-$1.08,$2.46,,,2526
