,,,,,,,
$198.03,Payment Received,PayPal Fee,Postage,Other Costs,,,
,"$3,221.20",-$239.81,"-$1,121.72","-$1,661.64",,,
3/1/2014,,$0.00,,-$60.00,Purchased DVDs,,-$60.00
3/2/2014,$7.99,-$0.53,-$2.01,,North By Northwest,,$5.45
3/2/2014,$7.99,-$0.53,-$2.25,,Now You See Me,,$5.21
3/2/2014,,$0.00,,-$25.00,Purchased Postal Scale,,-$25.00
3/2/2014,$7.99,-$0.53,-$2.25,,The Hunger Games,,$5.21
3/6/2014,$7.99,-$0.53,-$2.01,,Skyfall,,$5.45
3/6/2014,$7.99,-$0.53,-$2.01,,The King's Speech,,$5.45
3/8/2014,$3.98,-$0.42,-$2.09,,Cinderella man,Paid HP,$1.47
3/8/2014,$4.03,-$0.42,-$2.09,,Did You Hear About the Morgans,Paid HP,$1.52
3/8/2014,$3.98,-$0.42,-$2.09,,Employee of the Month,,$1.47
3/8/2014,$5.24,-$0.45,-$2.01,,Lincon Lawyer,Paid HP,$2.78
3/8/2014,$3.98,-$0.42,-$2.09,,Maid in Manhattan,Paid HP,$1.47
3/8/2014,$3.98,-$0.42,-$2.09,,Marilyn Manson,Paid HP,$1.47
3/8/2014,$3.98,-$0.42,-$2.01,,Me Again,Paid HP,$1.55
3/8/2014,$3.98,-$0.42,-$2.09,,Out of the Blue,,$1.47
3/8/2014,,$0.00,,-$22.00,Purchased DVDs,,-$22.00
3/8/2014,$8.51,-$0.55,-$2.09,,Red 2,,$5.87
3/8/2014,$3.98,-$0.42,-$4.18,,The Bucket List,,-$0.62
3/8/2014,$3.98,-$0.42,-$2.09,,The Switch,,$1.47
3/8/2014,$3.98,-$0.42,-$2.09,,Wild Things,Paid HP,$1.47
3/9/2014,$7.74,-$0.52,-$2.09,,Best of Monk,,$5.13
3/9/2014,$3.98,-$0.42,-$2.09,,Beverly Hills Ninja,,$1.47
3/11/2014,$4.49,-$0.43,-$2.01,,Admission,,$2.05
3/11/2014,$3.98,-$0.42,-$2.09,,Army of Darkness,,$1.47
3/11/2014,$6.57,-$0.49,-$2.01,,Joyful Noise,,$4.07
3/11/2014,$3.98,-$0.42,-$2.09,,Life As We Know It,,$1.47
3/12/2014,,$0.00,-$2.09,,Maverick,,-$2.09
3/13/2014,,$0.00,,-$18.00,"Purchased  Packing tape, plastic tub",,-$18.00
3/14/2014,$8.98,-$0.56,-$2.59,,Hill Street Blues ,Paid HP,$5.83
3/15/2014,,,,-$32.96,eBay Fees,,-$32.96
3/15/2014,,$0.00,,-$14.00,Purchased DVDs,,-$14.00
3/17/2014,$13.88,-$0.70,-$2.92,,"Bad Girls, Catch and Release, No Reservations, Outlaw Justice",,$10.26
3/17/2014,$5.24,-$0.45,-$2.01,,Divine Secrets of the Ya-Ya Sisterhood,,$2.78
3/17/2014,$7.25,-$0.51,-$2.09,,My Sassy Girl,,$4.65
3/17/2014,$5.23,-$0.45,-$2.01,,Rapid Fire,,$2.77
3/17/2014,$4.98,-$0.44,-$2.01,,Shrek,,$2.53
3/21/2014,,$0.00,,-$21.00,Purchased DVDs,,-$21.00
3/24/2014,$7.99,-$0.53,-$2.09,,Princess Bride,,$5.37
3/25/2014,$7.98,-$0.53,-$2.09,,Wall-E,,$5.36
3/27/2014,$7.98,-$0.53,-$2.01,,Dumb and Dumber,,$5.44
3/29/2014,$7.98,-$0.53,-$2.01,,Highlander,,$5.44
3/31/2014,$5.47,-$0.46,-$2.59,,"Dawn of the Dead, Wanted",Paid HP,$2.42
3/31/2014,$7.74,-$0.52,-$2.01,,Night at the Roxbury,Paid HP,$5.21
3/31/2014,$4.75,-$0.44,-$2.01,,Savages,Paid HP,$2.30
4/2/2014,$3.98,-$0.42,-$2.01,,Derailed,Paid HP,$1.55
4/2/2014,$3.98,-$0.42,-$2.01,,Outlander,Paid HP,$1.55
4/2/2014,$3.98,-$0.42,-$2.09,,The Family Man,Paid HP,$1.47
4/2/2014,$3.98,-$0.42,-$2.09,,Transformers,Paid HP,$1.47
4/3/2014,$3.98,-$0.42,-$2.01,,Kicking and Screaming,,$1.55
4/5/2014,,,,-$27.00,Purchased DVDs,,-$27.00
4/7/2014,$7.98,-$0.53,-$2.01,,Chain Reaction,Paid HP,$5.44
4/7/2014,$7.98,-$0.53,-$2.01,,Knight and Day,,$5.44
4/9/2014,$7.98,-$0.53,-$2.01,,Burn After Reading,Hp ,$5.44
4/9/2014,$3.98,-$0.42,-$2.09,,Scary Movie 2,hp,$1.47
4/10/2014,$4.03,-$0.42,-$2.01,,Inglourious Basterds,hp,$1.60
4/11/2014,,,,-$17.99,Purchased Marvel Grab Zags,,
4/12/2014,,,,-$36.00,Purchased DVDs,,
4/12/2014,,,,-$10.00,Purchased envelopes,,
4/13/2014,$7.98,-$0.53,-$2.01,,Legend of Zorro,,$5.44
4/16/2014,$3.98,-$0.42,-$2.01,,Adaptation,hp - 1/2,$1.55
4/16/2014,$18.98,-$0.85,-$2.01,,Full Metal Jacket,hp - 1/2,$16.12
4/16/2014,$8.49,-$0.55,-$2.59,,"Sex and the City, Season 2",hp - 1/2,$5.35
4/16/2014,$23.98,-$1.00,-$2.57,,"Smallville, Season 10",,$20.41
4/16/2014,$4.03,-$0.42,-$2.01,,Stripes,hp - 1/2,$1.60
4/16/2014,$10.74,-$0.61,-$2.04,,The Adventures of Baron Munchausen,hp - 1/2,$8.09
4/16/2014,$3.98,-$0.42,-$2.01,,The Transporter,hp - 1/2,$1.55
4/16/2014,$4.78,-$0.44,-$2.01,,We Were Soldiers,hp - 1/2,$2.33
4/17/2014,$3.98,-$0.42,-$2.01,,Pineapple Express,hp - 1/2,$1.55
4/17/2014,$9.82,-$0.58,-$2.01,,Shaft,hp - 1/2,$7.23
