,,,,,,,,,
$285.87,Payment Received,PayPal Fee,Postage,Other Costs,,,,DVD Cost:,1
,"$4,925.02",-$436.53,"-$2,128.33","-$2,074.30",,$285.87,,,
1/1/2015,$3.19,-$0.39,-$2.09,,Master and Commander,,-$0.29,,
1/1/2015,$14.14,-$0.71,-$2.09,,Pride and Prejudice,,$10.34,,
1/1/2015,,$0.00,,-$55.00,Purchased DVDs,,-$56.00,,
1/1/2015,,$0.00,,-$3.50,Refund for Get Smart,,-$4.50,,
1/1/2015,$3.14,-$0.39,-$2.25,,Ronin,,-$0.50,,
1/1/2015,$55.00,-$1.90,-$5.74,-$47.37,Sold Whirlpool Water Filters,,-$1.01,,
1/1/2015,$3.19,-$0.39,-$1.38,,Taking Lives,,$0.42,,
1/1/2015,$2.94,-$0.39,-$1.38,,The Bone Collector,,$0.17,,
1/1/2015,$3.79,-$0.41,-$2.01,,The Twilight Saga: Eclipse,,$0.37,,
1/2/2015,$3.84,-$0.41,-$2.09,,Reign of Fire,,$0.34,,
1/2/2015,$36.00,-$1.34,-$6.94,-$26.29,Sold Fila Women's Jacket,,$0.43,,
1/2/2015,$2.84,-$0.38,-$2.42,,The DaVinci Code,,-$0.96,,
1/2/2015,$2.94,-$0.39,-$2.09,,The Fifth Element,,-$0.54,,
1/2/2015,$4.84,-$0.44,-$2.09,,The Prestige,,$1.31,,
1/2/2015,$5.44,-$0.46,-$2.09,,Where Eagles Dare,,$1.89,,
1/3/2015,$18.99,-$0.85,-$2.93,-$14.50,Baretta Season One,,-$0.29,,
1/3/2015,$3.14,-$0.39,-$2.09,,High Crimes,,-$0.34,,
1/3/2015,$2.84,-$0.38,-$2.01,,King Kong ,,-$0.55,,
1/3/2015,$3.74,-$0.41,-$2.09,,L.A. Confidential,,$0.24,,
1/3/2015,$3.19,-$0.39,-$2.09,,Lost in Space,,-$0.29,,
1/3/2015,$2.94,-$0.39,-$2.09,,Lost in Translation,,-$0.54,,
1/3/2015,$3.34,-$0.40,-$2.09,,Men in Black,,-$0.15,,
1/3/2015,$3.14,-$0.39,-$2.25,,Million Dollar Baby,,-$0.50,,
1/3/2015,$2.84,-$0.38,-$2.09,,Miss Congeniality,,-$0.63,,
1/3/2015,$3.14,-$0.39,-$2.09,,Orange County,,-$0.34,,
1/3/2015,$3.14,-$0.39,-$2.09,,Rumor Has It,,-$0.34,,
1/3/2015,$4.34,-$0.43,-$2.01,,Sleepless in Seattle,,$0.90,,
1/3/2015,$3.14,-$0.39,-$2.09,,Snake eyes,,-$0.34,,
1/3/2015,$2.94,-$0.39,-$2.09,,The Passion of the Christ,,-$0.54,,
1/3/2015,$3.44,-$0.40,-$2.09,,The Punisher,,-$0.05,,
1/3/2015,$4.24,-$0.42,-$2.01,,While You Were Sleeping,,$0.81,,
1/4/2015,$2.94,-$0.39,-$2.09,,Four Brothers,,-$0.54,,
1/4/2015,$3.24,-$0.39,-$2.09,,Hellboy,,-$0.24,,
1/4/2015,$3.14,-$0.39,-$2.09,,Orange County,,-$0.34,,
1/4/2015,$12.44,-$0.66,-$2.09,,Persuasion,,$8.69,,
1/4/2015,$3.94,-$0.41,-$2.09,,Sudden Impact,,$0.44,,
1/4/2015,$2.84,-$0.38,-$2.09,,The Manchurian Candidate,,-$0.63,,
1/4/2015,$3.79,-$0.41,-$2.09,,The Nativity Story,,$0.29,,
1/4/2015,$2.94,-$0.39,-$2.09,,The Passion of the Christ,,-$0.54,,
1/4/2015,$2.94,-$0.39,-$2.09,,Two for the Money,,-$0.54,,
1/4/2015,$3.19,-$0.39,-$2.09,,Wallace & Gromit: The Curse of the Were-Rabbit,,-$0.29,,
1/4/2015,$2.94,-$0.39,-$2.09,,War of the Worlds,,-$0.54,,
1/5/2015,$3.94,-$0.41,-$2.09,,Rain Man,,$0.44,,
1/5/2015,$3.14,-$0.39,-$2.09,,Unfaithful,,-$0.34,,
1/6/2015,$7.49,-$0.52,-$2.25,,Grace of My Heart,,$3.72,,
1/6/2015,$3.14,-$0.39,-$2.09,,U.S. Marshals,,-$0.34,,
1/6/2015,$4.94,-$0.44,-$2.09,,Volcano,,$1.41,,
1/7/2015,$3.14,-$0.39,-$2.09,,Any Given Sunday,,-$0.34,,
1/7/2015,$4.94,-$0.44,-$2.25,,Doc Hollywood / Mr. Wonderful / Michael,,$1.25,,
1/7/2015,$3.14,-$0.39,-$2.01,,Phone Booth,,-$0.26,,
1/7/2015,,$0.00,,-$19.20,Purchased Packing Tape,,-$20.20,,
1/7/2015,$4.15,-$0.42,-$2.09,,Sea of Love,,$0.64,,
1/7/2015,$3.94,-$0.41,-$2.25,,The Rock,,$0.28,,
