 ,,,,,,,,,
"$1,418.91",Payment Received,PayPal Fee,Postage,Other Costs,,Category,,DVD Cost:,1
,"$5,024.25",-$350.60,"-$1,867.77","-$1,737.57",,,,,
1/1/2016,,$0.00,,$125.00,Sold DVDs,,$124.00,,
1/2/2017,$4.75,-$0.44,-$2.60,,My Blue Heaven,,$0.71,,
1/2/2017,$9.50,-$0.58,-$2.60,,Washington Square,,$5.32,,
1/2/2017,$4.50,-$0.43,-$2.60,,G.I. Jane,,$0.47,,
1/4/2017,$5.50,-$0.46,-$2.60,,Seinfeld Season 7 Disc 1,,$1.44,,
1/4/2017,$6.00,-$0.47,-$2.60,,Chuck Norris Collection Hitman / Hellbound / Forced Vengeance,,$1.93,,
1/4/2017,$8.50,-$0.55,-$2.60,,House of 1000 Corpses,,$4.35,,
1/5/2017,$5.75,-$0.47,-$2.60,,Liar Liar,,$1.68,,
1/5/2017,$4.75,-$0.44,-$2.60,,Broadway: The Golden Age,,$0.71,,
1/6/2017,$5.75,-$0.47,-$2.60,,Waterworld,,$1.68,,
1/6/2017,$6.50,-$0.49,-$2.60,,The Silencers,,$2.41,,
1/8/2017,$5.00,-$0.45,-$2.60,,Super Mario Bros / Sonic Underground,,$0.96,,
1/8/2017,$6.00,-$0.47,-$2.60,,Storm of the Century,,$1.93,,
1/8/2017,$6.00,-$0.47,-$2.60,,Goodbye Lennin,,$1.93,,
1/8/2017,,$0.00,,-$40.00,Purchased DVDs,,-$41.00,,
1/8/2017,$4.50,-$0.43,-$2.60,,The Texas Chainsaw Massacre: The Beginning,,$0.47,,
1/8/2017,$5.00,-$0.45,-$2.60,,Despicable Me 2,,$0.96,,
1/8/2017,$4.50,-$0.43,-$2.60,,Clash of the Titans 1981,,$0.47,,
1/10/2017,$4.75,-$0.44,-$2.60,,Men in Tights,,$0.71,,
1/11/2017,$4.75,-$0.44,-$2.60,,Zoom: Academy for Super Heroes,,$0.71,,
1/11/2017,$5.50,-$0.46,-$2.60,,"Monsters, Inc.",,$1.44,,
1/11/2017,$6.75,-$0.50,-$2.60,,Downton Abbey Season 2,-$2.00,$0.65,,
1/12/2017,$5.75,-$0.47,-$2.60,,The Hellraiser Collection,,$1.68,,
1/12/2017,$14.75,-$0.73,-$2.60,,The Rockford Files Season 3,-$2.00,$8.42,,
1/12/2017,$9.50,-$0.58,-$2.60,,True Blood Season 2,-$2.00,$3.32,,
1/13/2017,$11.00,-$0.62,-$2.60,,True Blook Season 4,-$2.00,$4.78,,
1/13/2017,$7.75,-$0.52,-$2.60,,Dangerous Liaisons,,$3.63,,
1/13/2017,$4.50,-$0.43,-$2.60,,From Dusk Til Dawn 3,,$0.47,,
1/14/2017,$7.75,-$0.52,-$2.60,,Butterflies are Free,,$3.63,,
1/14/2017,$17.00,-$0.79,-$2.60,-$16.00,American Courtesans,,-$3.39,,
1/15/2017,$4.75,-$0.44,-$2.60,,Chill Factor,,$0.71,,
1/15/2017,$8.00,-$0.53,-$2.60,,Carlos Mencia: New Territory,,$3.87,,
1/15/2017,$6.25,-$0.48,-$2.60,,The Sword in the Stone,,$2.17,,
1/15/2017,$5.00,-$0.45,-$2.60,,Friends Season 2,-$2.00,-$1.05,,
1/16/2017,$5.00,-$0.45,-$2.60,,I Smile Back,,$0.96,,
1/17/2017,$9.00,-$0.56,-$2.60,,Dear Frankie,,$4.84,,
1/17/2017,$10.00,-$0.59,-$2.60,,Hell on Wheels Season 4,,$5.81,,
1/18/2017,$7.50,-$0.52,-$2.60,,I Am,,$3.38,,
1/18/2017,$5.00,-$0.45,-$2.60,,The Simpsons Season 5 Disc 4,,$0.96,,
1/19/2017,$5.75,-$0.47,-$2.60,,Crazy Beautiful,,$1.68,,
1/19/2017,$6.50,-$0.49,-$2.60,,Kill Bill Collection,,$2.41,,
1/19/2017,$5.50,-$0.46,-$2.60,,Happy Gilmore / Billy Madison / Chuck and Larry,,$1.44,,
1/19/2017,,$0.00,,-$55.96,eBay Fees,,-$56.96,,
1/20/2017,$5.00,-$0.45,-$2.60,,True Blood Season 3 Replacement Disc 1,,$0.96,,
1/21/2017,,$0.00,,-$32.00,Purchased DVDs,,-$33.00,,
1/22/2017,$11.00,-$0.62,-$2.77,-$13.74,The Closer Season 5,,-$7.13,,
1/22/2017,$4.50,-$0.43,-$2.77,,The Company,,$0.30,,
1/22/2017,$10.00,-$0.59,-$2.77,,Clint Eastwood Collection,,$5.64,,
1/24/2017,$10.00,-$0.59,$0.00,-$2.00,The Rockford Files Season 6,,$6.41,,
1/25/2017,$5.00,-$0.45,$0.00,-$1.00,Ultimate Avengers Pack,,$2.56,,
1/25/2017,$5.00,-$0.45,$0.00,,Every Little Step,,$3.56,,
1/25/2017,,$0.00,-$2.77,-$7.50,"Refund for ""I Am""",,-$11.27,,
1/26/2017,$4.50,-$0.43,-$2.77,,Silent Hill,,$0.30,,
1/27/2017,$5.00,-$0.45,-$2.77,,Swing Time,,$0.79,,
1/28/2017,$6.00,-$0.47,-$2.77,,Battle Hymn,,$1.76,,
1/28/2017,$9.00,-$0.56,-$2.77,,Real Steel,,$4.67,,
1/28/2017,$5.00,-$0.45,-$2.77,,Somewhere in Time,,$0.79,,
1/29/2017,$5.25,-$0.45,-$2.77,,Flirting with Disaster,,$1.03,,
1/29/2017,$5.50,-$0.46,-$2.77,,Body Snatchers,,$1.27,,
1/29/2017,$10.00,-$0.59,-$2.63,,"Jackie Chan Collection - Rumble in the Bronx, Shanghai Knights, Rush Hour 2",-$2.00,$3.78,,
1/29/2017,$10.00,-$0.59,-$2.63,,"Blade Collection - 1, 2 and Trinity",-$2.00,$3.78,,
1/30/2017,$5.75,-$0.47,-$2.77,,The Client,,$1.51,,
1/30/2017,$4.50,-$0.43,-$2.77,,Legendary: Tomb of the Dragon,,$0.30,,
1/31/2017,$5.75,-$0.47,-$2.77,,The Human Contract,,$1.51,,
2/2/2017,$6.25,-$0.48,-$2.63,$0.30,Lost Season 1,,$2.44,,
2/3/2017,$7.25,-$0.51,-$2.68,,That 70s Show Season 4,,$3.06,,
2/3/2017,$7.00,-$0.50,-$2.77,,John Wick,,$2.73,,
2/4/2017,$7.50,-$0.52,-$2.77,,Dragonfly,,$3.21,,
2/4/2017,$5.00,-$0.45,-$2.77,,Deep Blue Sea,,$0.79,,
2/4/2017,,,,-$35.00,Purchased DVDs,,-$36.00,,
2/5/2017,$13.25,-$0.68,-$2.63,,Desperate Housewives Season 3,,$8.94,,
2/5/2017,$5.75,-$0.47,-$2.77,,Universal Soldier / Lock Up,,$1.51,,
2/5/2017,$8.75,-$0.55,-$2.63,,Blue Submarine No. 6,,$4.57,,
2/5/2017,$5.75,-$0.47,-$2.77,,The Big Squeeze,,$1.51,,
2/6/2017,$11.00,-$0.62,-$2.77,-$10.50,"The Closer, Season 6",,-$3.89,,
2/6/2017,$5.00,-$0.45,-$2.77,,Stargate SG-1 Volume 2,,$0.79,,
2/6/2017,$45.00,-$1.61,-$2.77,,Maya Deren: Experimental Films,,$39.63,,
2/6/2017,$6.75,-$0.50,-$2.77,,Internet Dating,,$2.48,,
2/7/2017,$7.50,-$0.52,-$2.77,,Ratatouille,,$3.21,,
2/8/2017,$8.75,-$0.55,-$2.77,,Imitation of Life,,$4.43,,
2/9/2017,$4.75,-$0.44,-$2.77,,Something Borrowed,,$0.54,,
2/9/2017,$6.00,-$0.47,-$2.77,,Last Orders,,$1.76,,
2/10/2017,$12.00,-$0.65,-$2.77,,A Killing Spring,,$7.58,,
2/11/2017,,,,-$20.00,Purchased DVDs,,-$21.00,,
2/11/2017,$5.00,-$0.45,-$2.77,,Midnight Bayou,,$0.79,,
2/11/2017,$6.25,-$0.48,-$2.77,,Crime Story,,$2.00,,
2/13/2017,$11.00,-$0.62,-$2.77,,Out to Sea,,$6.61,,
2/13/2017,$11.00,-$0.62,-$2.77,,"Larry Crowne
Hackers",,$6.61,,
2/16/2017,$17.00,-$0.79,-$2.77,,Mrs Winterbourne,,$12.44,,
2/16/2017,$5.75,-$0.47,-$2.77,,Breaking Bad Season 1,,$1.51,,
2/17/2017,$13.00,-$0.68,-$2.77,,Suspect,,$8.55,,
2/18/2017,$5.75,-$0.47,-$2.77,,Freedom Writers,,$1.52,,
2/18/2017,$12.00,-$0.65,-$2.77,,Home Improvement Season 1,-$4.00,$3.58,,
2/18/2017,,$0.00,,-$47.00,Purchased DVDs,,-$48.00,,
2/19/2017,,$0.00,,-$54.80,eBay Fees,,-$55.80,,
2/19/2017,6.75,-$0.50,-$2.77,,Green Lantern: Emerald Knights,,$2.48,,
2/19/2017,$5.00,-$0.45,-$2.77,,Deep Blue Sea,,$0.79,,
2/19/2017,$4.75,-$0.44,-$2.77,,Into the Wild,,$0.54,,
2/19/2017,$10.00,-$0.59,-$2.77,,Disney's Quack Pack Volume 1,,$5.64,,
2/20/2017,$7.50,-$0.52,-$2.77,,The Viral Factor,,$3.21,,
2/21/2017,$5.00,-$0.45,-$2.61,,True Blood Season 3 Replacement Disc 2,,$0.95,,
