,,,,,,,,,
 ,,,,,,,,,
$820.94,Payment Received,PayPal Fee,Postage,Other Costs,,Purchase Price Offset,,DVD Cost:,1.15
,"$2,325.01",-$128.63,-$558.32,-$817.12,,,,,
1/3/2020,$10.00,-$0.59,-$2.75,,8mm / Gone in 60 Seconds / The Trust / Trapped in Paradise - Nicolas Cage,-$3.00,$2.51,,
1/3/2020,$7.50,-$0.52,-$2.75,,Shania Twain - Live,,$3.08,,
1/19/2020,$6.00,-$0.47,-$2.75,,The Keys to the Kingdom,,$1.63,,
1/19/2020,$7.00,-$0.50,-$2.75,,Under the Skin,,$2.60,,
1/20/2020,$19.00,-$0.85,-$3.28,,Sinbad: Where You Been?,$0.80,$14.52,,
1/20/2020,,,,-$40.43,eBay Fees,,,,
1/21/2020,$10.00,-$0.59,-$2.75,,Awakenings / The Fisher King,-$0.20,$5.31,,
1/21/2020,$14.00,-$0.71,-$2.75,,Ballers Season 2,,$9.39,,
1/22/2020,$6.00,-$0.47,-$2.75,,Columbo Season 2 - Damaged box,,$1.63,,
1/22/2020,$20.00,-$0.88,-$2.75,,The Cult: Music Without Fear,,$15.22,,
1/23/2020,$6.00,-$0.47,-$2.75,,In the Valley of Violence,,$1.63,,
1/23/2020,$10.00,-$0.59,-$2.75,,A Perfect Candidate,-$0.20,$5.31,,
1/24/2020,$5.50,-$0.46,-$2.75,,5.5,,$1.14,,
1/24/2020,$7.50,-$0.52,-$2.75,,The Odd Couple,,$3.08,,
1/24/2020,$5.50,-$0.46,-$2.75,,Buried,$0.50,$1.64,,
1/26/2020,$9.00,-$0.56,-$2.75,,Premonition / Ya Ya Sisterhood / Hope Floats - Sandra Bullock,,$4.54,,
1/26/2020,$6.00,-$0.47,-$2.75,,The Drop,,$1.63,,
1/28/2020,$14.00,-$0.71,-$2.75,,Columbo Season 3,,$9.39,,
1/29/2020,$7.00,-$0.50,-$2.75,,Superfly,,$2.60,,
2/3/2020,$8.50,-$0.55,-$2.80,,The Wire Season 2,,$4.00,,
2/3/2020,$8.00,-$0.53,-$2.80,,Columbo Season 2,,$3.52,,
2/4/2020,$10.00,-$0.59,-$3.81,,Puss in Boots,,$4.45,,
2/4/2020,$6.00,-$0.47,-$2.80,,Less Than Zero,,$1.58,,
2/4/2020,$9.00,-$0.56,-$2.80,,Columbo Season 3,,$4.49,,
2/4/2020,$10.00,-$0.59,-$2.80,,Antwon Fisher / Fences / The Hurricane / Manchurian Candidate - Denzel Washington,,$5.46,,
2/10/2020,,$0.00,,-$10.99,Cardboard DVD Mailers,,-$12.14,,
2/10/2020,$5.00,-$0.45,-$2.80,,The Golden Girls Season 1 Disc 3 ,$0.50,$1.11,,
2/10/2020,$7.00,-$0.50,-$2.80,,Rock Star,,$2.55,,
2/10/2020,$10.00,-$0.59,-$2.80,,Flightplan / Inside Man / Panic Room / The Brave One - Jodi Foster,-$1.96,$3.50,,
2/10/2020,$5.50,-$0.46,-$2.80,,Flowers for Algernon,-$0.20,$0.89,,
2/10/2020,$15.00,-$0.74,-$2.80,,Columbo Seasons 6 and 7,,$10.32,,
2/11/2020,$50.00,-$1.75,-$2.80,,Films for the Humanities and Sciences - Modern Slavery: Human Trafficking,-$0.20,$44.10,,
2/13/2020,$7.00,-$0.50,-$2.80,,The Ballad of Lefty Brown,,$2.55,,
2/15/2020,$11.00,-$0.62,-$2.80,,Lord of the Flies,,$6.43,,
2/16/2020,$7.00,-$0.50,-$2.80,,Spun,,$2.55,,
2/16/2020,$9.00,-$0.56,-$2.80,,Deadwood Season 1,,$4.49,,
2/16/2020,$10.00,-$0.59,-$2.80,,Domestic Disturbance / Ladder 48 / The General's Daughter / The Punisher - John Travolta,-$0.65,$4.81,,
2/18/2020,$17.00,-$0.79,-$2.80,,Bury the Hatchet,,$12.26,,
2/20/2020,$8.00,-$0.53,-$2.80,,The L Word Season 5,,$3.52,,
2/20/2020,,$0.00,,-$72.97,eBay Fees,,-$74.12,,
2/23/2020,$8.00,-$0.53,-$2.80,,Medium Season 2,,$3.52,,
2/23/2020,$8.00,-$0.53,-$2.80,,A Tribute to Stevie Ray Vaughan,,$3.52,,
2/24/2020,$13.00,-$0.68,-$2.80,,Citizen Cohn,,$8.37,,
2/29/2020,$11.00,-$0.62,-$2.80,,Mandy,,$6.43,,
3/1/2020,$8.50,-$0.55,-$2.80,,Columbo Season 1,,$4.00,,
3/1/2020,$14.00,-$0.71,-$2.80,,End of the Century: The Story of the Ramones,,$9.34,,
3/3/2020,$5.00,-$0.45,-$2.80,,Manos: Hands of Fate,,$0.61,,
3/3/2020,$8.25,-$0.54,-$2.80,,Columbo Season 4,,$3.76,,
